error_family,policy_id,optimizer_family,checkpoint,crossing_fraction_descriptive,mean_margin
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,2048,0.0,-0.006625520965139688
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,4096,1.0,0.0017136789186345369
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,8192,1.0,0.007610072199809716
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,16384,1.0,0.011777960240245747
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,32768,1.0,0.014729567326202328
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,65536,1.0,0.017091920598372324
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,131072,1.0,0.020570229159177743
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,262144,1.0,0.02339631618457423
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,524288,1.0,0.02566828644342316
diffuse_low_error,scrambled_gibbs:beta=0.5,scrambled_gibbs,1048576,1.0,0.027472315743839976
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,32,0.0,-0.13381356752653112
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,64,0.0,-0.09910041759129401
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,128,0.0,-0.06993537499473404
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,256,0.0,-0.04544454837209788
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,512,0.0,-0.024886623695921005
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,1024,0.0,-0.007646915045540166
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,2048,1.0,0.007712325936690294
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,4096,1.0,0.020710848373218318
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,8192,1.0,0.02990443197212551
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,16384,1.0,0.03735763788869729
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,32768,1.0,0.04431928023915427
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,65536,1.0,0.05006250089464832
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,131072,1.0,0.05476827909243416
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,262144,1.0,0.05859167154789728
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,524288,1.0,0.06166540348490333
diffuse_low_error,scrambled_gibbs:beta=1,scrambled_gibbs,1048576,1.0,0.06410606152362044
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,32,0.0,-0.19841984670086027
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,64,0.0,-0.1412164011881463
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,128,0.0,-0.09315562513754713
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,256,0.0,-0.05279744188759705
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,512,0.0,-0.018920247617928425
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,1024,1.0,0.009488892326933455
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,2048,1.0,0.03328935625671725
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,4096,1.0,0.053198337322340264
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,8192,1.0,0.06981787958399033
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,16384,1.0,0.08365143581263512
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,32768,1.0,0.09512345519480958
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,65536,1.0,0.10458764990047517
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,131072,1.0,0.11234225376771773
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,262144,1.0,0.11864278317538737
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,524288,1.0,0.12370795466536305
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,1048576,1.0,0.1277298901391934
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,32,0.0,-0.3557839564057296
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,64,0.0,-0.2554058479255311
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,128,0.0,-0.17107089661604524
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,256,0.0,-0.10025211883059126
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,512,0.0,-0.040805897524747815
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,1024,1.0,0.009045220806589014
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,2048,1.0,0.05080923569782314
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,4096,1.0,0.08574464637498515
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,8192,1.0,0.11490789346751161
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,16384,1.0,0.1391824139153613
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,32768,1.0,0.1593130126181074
