error_family,policy_id,optimizer_family,checkpoint,empirical_bernstein_crossing_fraction_descriptive,mean_margin
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,262144,1.0,0.13959506058937546
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,524288,1.0,0.13989974378657297
diffuse_low_error,scrambled_gibbs:beta=2,scrambled_gibbs,1048576,1.0,0.14005774229508486
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,32,0.0,-0.5469410458040207
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,64,0.0,-0.3015695568925138
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,128,0.0,-0.13136500418532
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,256,0.0,-0.012451248467972562
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,512,1.0,0.07073721106076397
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,1024,1.0,0.12868894189341337
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,2048,1.0,0.1686346175821542
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,4096,1.0,0.19562395052753526
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,8192,1.0,0.21326592205280054
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,16384,1.0,0.22425959547468594
diffuse_low_error,scrambled_gibbs:beta=4,scrambled_gibbs,32768,1.0,0.23074210084019775
